cpu_percent,read_count,write_count
28.9,471567,459566
29.9,471567,459569
32.3,471567,459571
27.1,471567,459571
19.1,471567,459571
30.8,471567,459571
19.3,471567,459571
9.0,471567,459572
13.4,471567,459572
23.2,471567,459572
22.7,471567,459572
43.6,471567,459575
21.9,471567,459575
22.4,471567,459575
23.8,471567,459575
26.2,471567,459575
21.1,471567,459575
17.5,471567,459602
27.3,471567,459602
35.5,471567,459602
27.6,471567,459602
22.1,471567,459603
22.5,471567,459605
19.9,471567,459605
22.1,471567,459605
18.8,471567,459605
17.8,471567,459605
30.5,471567,459605
38.6,471567,459605
24.9,471567,459605
26.0,471567,459605
21.0,471567,459605
19.3,471567,459607
29.6,471567,459607
17.9,471567,459607
23.1,471567,459607
24.6,471567,459607
36.9,471567,459607
26.8,471567,459607
28.2,471567,459607
22.3,471567,459607
40.1,471569,459607
31.8,471569,459607
55.6,471569,459621
46.2,471569,459624
43.2,471569,459624
50.5,471569,459624
44.5,471569,459624
51.8,471569,459644
34.0,471569,459644
28.6,471569,459644
30.3,471569,459644
41.0,471569,459644
47.8,471569,459684
32.2,471570,459687
43.2,471570,459687
36.4,471570,459687
45.5,471570,459687
53.3,471570,459687
43.0,471570,459687
53.2,471570,459687
62.6,471570,459687
38.1,471570,459687
55.1,471570,459687
55.9,471570,459690
48.5,471570,459690
48.0,471570,459690
48.0,471570,459690
49.2,471570,459690
46.8,471571,459690
32.2,471571,459690
38.8,471571,459690
47.4,471571,459690
44.7,471571,459690
55.8,471571,459692
55.4,471571,459692
48.7,471571,459692
52.0,471571,459692
45.5,471571,459693
51.3,471571,459720
48.2,471571,459720
39.2,471571,459720
46.5,471571,459720
52.5,471572,459720
48.5,471572,459720
62.9,471572,459722
59.1,471574,459722
37.8,471574,459722
43.4,471574,459722
55.0,471585,459722
40.2,471591,459722
26.4,471594,459722
38.7,471594,459722
32.3,471594,459722
30.5,471594,459722
38.3,471594,459725
28.0,471594,459725
26.5,471594,459725
28.9,471594,459725
27.5,471594,459725
25.9,471594,459725
31.0,471594,459725
28.5,471594,459725
26.5,471594,459725
28.6,471594,459725
30.2,471594,459725
25.5,471594,459728
27.5,471594,459728
35.5,471594,459728
53.8,471594,459729
51.0,471594,459729
53.5,471594,459745
32.0,471594,459769
30.1,471594,459772
48.0,471594,459772
39.4,471594,459772
43.3,471594,459772
43.9,471594,459772
28.0,471594,459772
42.9,471594,459772
34.0,471594,459772
32.1,471594,459772
28.9,471594,459772
36.8,471594,459772
33.0,471594,459775
28.6,471594,459775
42.9,471594,459775
31.3,471594,459775
33.7,471594,459775
30.4,471594,459775
28.6,471594,459775
41.0,471594,459775
30.9,471594,459775
29.2,471594,459775
30.4,471594,459778
31.4,471594,459778
30.2,471594,459778
29.2,471594,459778
31.6,471594,459778
28.0,471594,459778
28.5,471594,459779
32.1,471594,459779
29.4,471594,459779
29.0,471594,459781
30.7,471594,459781
30.1,471594,459784
29.5,471594,459784
31.8,471594,459784
30.9,471594,459784
28.2,471594,459784
29.7,471594,459784
31.8,471594,459784
25.6,471594,459784
26.3,471594,459895
43.7,471594,459895
27.5,471594,459898
27.6,471594,459898
29.8,471594,459898
26.5,471594,459898
29.9,471594,459898
29.6,471594,459898
31.2,471594,459898
40.1,471594,459898
29.5,471594,459898
27.1,471594,459899
25.9,471594,459899
28.9,471594,459901
29.6,471594,459901
27.4,471595,459901
29.6,471595,459901
29.8,471595,459901
26.7,471595,459901
29.6,471595,459901
26.0,471595,459901
28.4,471595,459911
39.7,471595,459911
30.0,471595,459914
36.2,471595,459914
39.8,471595,459914
28.3,471595,459914
28.2,471595,459914
25.9,471595,459914
29.9,471595,459914
28.0,471595,459914
35.3,471595,459919
32.0,471595,459919
28.0,471595,459919
43.5,471595,459922
29.6,471595,459922
33.8,471595,459922
32.3,471595,459922
33.2,471595,459922
